AverageTemp,DiffFromLast1kIterations
1.0469429398688948,1.318873810163268e-08
1.0469429547616922,1.4892797439713945e-08
1.0469429705401445,1.5778452322479097e-08
1.0469429868854252,1.634528068450436e-08
1.0469430036329879,1.6747562670005323e-08
1.046943020684106,1.7051118073041494e-08
1.0469430379733284,1.7289222498106938e-08
1.046943055453955,1.748062650186455e-08
1.046943073090801,1.7636845983659555e-08
1.046943090856283,1.776548197440775e-08
1.0469431087281842,1.7871901292210168e-08
1.0469431266883396,1.7960155362928276e-08
1.0469431447216762,1.8033336601774863e-08
1.0469431628156187,1.8093942566466126e-08
1.046943180959649,1.814403027822209e-08
1.0469431991449276,1.8185278616300593e-08
1.046943217363996,1.8219068476099665e-08
1.0469432356106192,1.8246623101347836e-08
1.0469432538795123,1.8268893064998792e-08
1.0469432721662184,1.8286706149339693e-08
1.0469432904670066,1.830078821818404e-08
1.0469433087787117,1.8311705041185178e-08
1.0469433270986697,1.831995799506103e-08
1.0469433454246342,1.832596452366886e-08
1.0469433637547232,1.833008900220534e-08
1.046943382087328,1.833260476757914e-08
1.0469434004211093,1.833378138194064e-08
1.0469434187549382,1.8333828899486093e-08
1.0469434370878514,1.8332913187535382e-08
1.0469434554190524,1.8331201001586805e-08
1.0469434737478451,1.832879270580179e-08
1.0469434920736815,1.8325836403931817e-08
1.0469435103960572,1.8322375616719455e-08
1.046943528714587,1.8318529804162154e-08
1.0469435470289061,1.831431917231896e-08
1.046943565338735,1.830982876427356e-08
1.0469435836438454,1.830511053846351e-08
1.0469436019440224,1.830017692938668e-08
1.0469436202390803,1.829505791306474e-08
1.0469436385289024,1.8289822101280606e-08
1.046943656813337,1.828443463303131e-08
1.0469436750923071,1.8278970115304105e-08
1.0469436933657137,1.8273406565683104e-08
1.0469437116334874,1.8267773738145365e-08
1.0469437298955664,1.8262078960162853e-08
1.0469437481518948,1.8256328448984505e-08
1.0469437664024448,1.8250549960185936e-08
1.0469437846471612,1.8244716404325345e-08
1.0469438028860423,1.8238881072107915e-08
1.046943821119033,1.8232990672828464e-08
1.046943839346135,1.8227102049905852e-08
1.0469438575673202,1.8221185227318415e-08
1.0469438757825698,1.821524953093956e-08
1.04694389399189,1.8209320273854246e-08
1.046943912195252,1.8203361928925688e-08
1.0469439303926664,1.819741446418277e-08
1.0469439485841077,1.8191441242265682e-08
1.0469439667695855,1.818547779031121e-08
1.0469439849490985,1.817951300608911e-08
1.0469440031226334,1.8173534899190713e-08
1.0469440212901928,1.8167559456827576e-08
1.0469440394517675,1.816157468859103e-08
1.0469440576073636,1.8155596137603425e-08
1.0469440757569928,1.8149629132935274e-08
1.0469440939006327,1.814363992380663e-08
1.0469441120382983,1.813766559166652e-08
1.0469441301699844,1.8131686152500492e-08
1.0469441482956887,1.8125704270843812e-08
1.0469441664154164,1.811972771825765e-08
1.0469441845291707,1.8113754274295957e-08
1.04694420263695,1.810777927602203e-08
1.0469442207387576,1.8101807608417175e-08
1.0469442388345942,1.8095836606946136e-08
1.0469442569244574,1.8089863162984443e-08
1.0469442750083544,1.8083897046494712e-08
1.0469442930862816,1.8077927155246698e-08
1.0469443111582437,1.8071962148979992e-08
1.0469443292242517,1.8066008022898927e-08
1.046944347284287,1.806003524507105e-08
1.046944365338362,1.805407512378565e-08
1.0469443833864822,1.8048120109526167e-08
1.0469444014286509,1.804216864798036e-08
1.0469444194648614,1.8036210525096408e-08
1.0469444374951145,1.803025306834627e-08
1.04694445551942,1.8024305603603352e-08
1.0469444735377829,1.801836280179714e-08
1.0469444915501913,1.801240845367147e-08
1.0469445095566627,1.8006471425024984e-08
1.046944527557183,1.8000520185523783e-08
1.0469445455517643,1.7994581380520458e-08
1.046944563540406,1.7988641687338713e-08
1.0469445815231144,1.798270843345051e-08
1.046944599499885,1.7976770516625606e-08
1.046944617470718,1.797083304388991e-08
1.046944635435628,1.7964910004053536e-08
1.046944653394606,1.7958978082432964e-08
1.046944671347654,1.795304793716923e-08
1.0469446892947807,1.7947126673689695e-08
